pop2024,pop2020,growth,name,aland_sqmi,intptlat,intptlong,slug,usps,lsad,lng,lat,type,rank,density
50168,48896,0.00638,Barnstable Town,59.929,41.6615,-70.3569,barnstable-town-ma,MA,2,-70.3569,41.6615,City,27,837
49783,48917,0.00438,Everett,3.416,42.4059,-71.0546,everett-ma,MA,2,-71.0546,42.4059,City,28,14573
46727,46475,0.00135,Attleboro,26.779,41.9317,-71.2945,attleboro-ma,MA,2,-71.2945,41.9317,City,29,1745
45628,45379,-0.00304,Arlington,5.142,42.4187,-71.1639,arlington-ma,MA,5,-71.1639,42.4187,CDP,30,8874
44970,44474,0.00277,Salem,8.294,42.4992,-70.8982,salem-ma,MA,2,-70.8982,42.4992,City,31,5422
43548,43744,-0.00112,Leominster,28.823,42.5209,-71.7706,leominster-ma,MA,2,-71.7706,42.5209,City,32,1511
42843,43777,-0.00541,Pittsfield,40.468,42.4518,-73.2607,pittsfield-ma,MA,2,-73.2607,42.4518,City,33,1059
41874,42596,-0.00428,Beverly,15.09,42.5567,-70.845,beverly-ma,MA,2,-70.845,42.5567,City,34,2775
41705,40791,0.00552,Woburn,12.65,42.4887,-71.1544,woburn-ma,MA,2,-71.1544,42.4887,City,35,3297
41345,41659,-0.00188,Fitchburg,27.824,42.602,-71.8159,fitchburg-ma,MA,2,-71.8159,42.602,City,36,1486
41239,38449,0.07256,Shrewsbury,20.743,42.2848,-71.7142,shrewsbury-ma,MA,,-71.7142,42.2848,Town,37,1988
41159,41801,-0.01536,Billerica,25.574,42.5597,-71.2609,billerica-ma,MA,,-71.2609,42.5597,Town,38,1609
40330,40740,-0.00252,Westfield,46.262,42.1388,-72.7559,westfield-ma,MA,2,-72.7559,42.1388,City,39,872
40288,41654,-0.00839,Marlborough,20.864,42.3496,-71.5472,marlborough-ma,MA,2,-71.5472,42.3496,City,40,1931
38063,39071,-0.00658,Braintree Town,13.762,42.2062,-71.0023,braintree-town-ma,MA,2,-71.0023,42.2062,City,41,2766
37286,38154,-0.00579,Holyoke,21.169,42.2117,-72.6424,holyoke-ma,MA,2,-72.6424,42.2117,City,42,1761
36691,40583,-0.02583,Chelsea,2.219,42.3968,-71.0313,chelsea-ma,MA,2,-71.0313,42.3968,City,43,16535
35984,36891,-0.02459,Natick,14.959,42.2848,-71.3488,natick-ma,MA,,-71.3488,42.2848,Town,44,2406
35836,36353,-0.01422,Chelmsford,22.382,42.5971,-71.3697,chelmsford-ma,MA,,-71.3697,42.5971,Town,45,1601
34971,32341,0.01918,Franklin Town,26.639,42.0849,-71.4106,franklin-town-ma,MA,2,-71.4106,42.0849,City,46,1313
34713,35331,-0.00442,Watertown Town,3.996,42.3694,-71.1779,watertown-town-ma,MA,2,-71.1779,42.3694,City,47,8687
34193,33304,-0.00041,Lexington,16.433,42.4452,-71.23,lexington-ma,MA,5,-71.23,42.4452,CDP,48,2081
34147,34913,-0.00556,Randolph Town,9.829,42.179,-71.0527,randolph-town-ma,MA,2,-71.0527,42.179,City,49,3474
33542,31365,0.06941,Dartmouth,60.927,41.5665,-70.9582,dartmouth-ma,MA,,-70.9582,41.5665,Town,50,551
33056,32536,0.01598,Falmouth,44.057,41.5949,-70.5992,falmouth-ma,MA,,-70.5992,41.5949,Town,51,750
32481,30854,0.05273,North Andover,26.284,42.6739,-71.0913,north-andover-ma,MA,,-71.0913,42.6739,Town,52,1236
32255,31177,0.00464,Needham,12.298,42.2816,-71.2424,needham-ma,MA,5,-71.2424,42.2816,CDP,53,2623
31806,32501,-0.02138,Dracut,20.675,42.6797,-71.3007,dracut-ma,MA,,-71.3007,42.6797,Town,54,1538
31517,29446,0.00277,Norwood,10.379,42.1874,-71.196,norwood-ma,MA,5,-71.196,42.1874,CDP,55,3037
31354,27300,0.03342,Northampton,34.245,42.327,-72.6746,northampton-ma,MA,2,-72.6746,42.327,City,56,916
30856,28747,0.01637,Wellesley,10.021,42.3059,-71.2829,wellesley-ma,MA,5,-71.2829,42.3059,CDP,57,3079
30639,31233,-0.01902,Tewksbury,20.724,42.6121,-71.2278,tewksbury-ma,MA,,-71.2278,42.6121,Town,58,1478
29932,29740,0.00161,Gloucester,26.193,42.6288,-70.6859,gloucester-ma,MA,2,-70.6859,42.6288,City,59,1143
29051,28509,0.0047,Bridgewater Town,27.241,41.9724,-70.9788,bridgewater-town-ma,MA,2,-70.9788,41.9724,City,60,1066
28656,28326,0.00157,Saugus,10.775,42.4684,-71.0139,saugus-ma,MA,5,-71.0139,42.4684,CDP,61,2659
28643,29245,-0.02058,Stoughton,16.086,42.119,-71.1037,stoughton-ma,MA,,-71.1037,42.119,Town,62,1781
28602,29708,-0.00956,Melrose,4.683,42.4557,-71.059,melrose-ma,MA,2,-71.059,42.4557,City,63,6108
